Ingredient,Combination,Dry,Normal,Oily,Sensitive
Methylisothia- Zolinone,0,0,0,0,0
Sea Water (Maris Aqua),1,1,1,1,1
Lens Esculenta (Lenti) Fruit Extract,1,1,1,1,1
Triethly Citrate,1,1,1,1,1
Ci 77891/ Titanium Dioxide,1,1,1,0,0
Alcohol .Citric Acid,1,1,1,0,0
Cymbopogon Martini Oil*,1,1,1,1,1
Ocimum Basilicum (Basil) Oil*,1,1,1,1,1
3-Butylene Glycol,1,1,1,1,1
Ginkgo Biloba Extract,1,1,1,1,1
Centella Extract,1,1,1,1,1
Palmitoyl Pentapeptide-3,1,1,1,1,1
Olive (Olea Europaea) Leaf Extract,1,1,1,1,1
Lecithin.,1,1,1,1,1
Tasmannia Lanceolata Fruit Extract,0,0,0,0,0
Syzygium Leuhmanii Fruit Extract,0,0,0,0,0
Kunzea Pomifera Fruit Extract,0,0,0,0,0
Rosa Canina Seed Powder,0,0,0,0,0
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl,0,0,0,0,0
Taurate Copolymer,0,0,0,0,0
Ferric Ferrocyanide,0,0,0,0,0
Iron Oxide.,0,0,0,0,0
Ppg-10 Methyl Glucose Ether,1,1,1,1,1
Methyl Undecenoyl Leucinate,1,1,1,1,1
Cymbopogon Schoenanthus Oil*,1,1,1,1,1
Coriandrum Sativum (Coriander) Fruit Oil*,1,1,1,1,1
Michelia Alba Flower Oil*,1,1,1,1,1
Vanilla Planifolia Fruit,1,1,1,1,1
Isopentane,1,0,1,1,0
Carbon Dioxide,0,0,0,0,0
Potassium Laureth Phosphate,0,0,0,0,0
Egg Yolk Extract/Extrait De Jaune D'oeuf,0,0,0,0,0
Ppg-3 Caprylyl Ether,0,0,0,0,0
Acrylates /C10-30 Alkyl Acrylate Crosspolymer,0,0,0,0,0
Bis-PEG-15 Methyl Ether Dimethicone,1,1,1,1,1
Citrate,1,1,1,1,1
Geraniol. Mask: 100% Lyocell.,1,1,1,1,1
Kaolin (absorbent - clay),1,1,1,1,1
C9-12 Alkane (coconut),1,1,1,1,1
Glycerin (natural humectant - plant-based palm oil),1,1,1,1,1
Caprylic/Capric Triglyceride (emollient - coconut oil),1,1,1,1,1
Magnesium Aluminum Silicate (thickener - natural mineral),1,1,1,1,1
Stearic Acid (emollient - fatty acid from palm),1,1,1,1,1
Palmitic Acid (emollient - fatty acid from palm),1,1,1,1,1
Cetearyl Alcohol (emollient - non-drying fatty alcohol from palm),1,1,1,1,1
Glyceryl Stearate SE (emulsifier - derived from palm),1,1,1,1,1
Aspalathus Linearis Leaf (Rooibos/Red Tea) Extract,1,1,1,1,1
Lycium Barbarum Fruit (Goji Berry) Extract,2,2,2,2,2
Vitis Vinifera (Grape Seed) Extract,2,2,2,2,2
Leuconostoc/Radish Root Ferment Filtrate (antimicrobial - fermented radishes),1,1,1,1,1
Pinus Cembra (Swiss Pine) Wood Extract,1,1,1,1,1
Colloidal Oatmeal (soothing - oatmeal),1,1,1,1,1
Allantoin (soothing - comfrey herb),1,1,1,1,1
Ceramide NP (natural lipid - fatty acid rapeseed),1,1,1,1,1
Sodium Hyaluronate (humectant - natural fermentation),2,2,2,2,2
Tocopherol (antioxidant - vitamin E),1,1,1,1,1
Sodium PCA (natural humectant - sugarcane),1,1,1,1,1
Coleus Barbatus Root (Forskolin) Extract,1,1,1,1,1
Leontopodium Alpinum (Edelweiss) Extract,2,2,2,2,2
Peucedanum Ostruthium Leaf (Imperatoria) Extract,1,1,1,1,1
Sodium Phytate (chelating - rice),1,1,1,1,1
Maltodextrin (binder - starch),1,1,1,1,1
Glyceryl Caprylate (natural emollient - coconut),1,1,1,1,1
Coco-Caprylate/Caprate (emollient - coconut oil),1,1,1,1,1
Cetearyl Olivate (emulsifier - fatty acids from olive oil),2,2,2,2,2
Cetearyl Glucoside (emulsifier/surfactant - coconut),1,1,1,1,1
Sorbitan Olivate (emulsifier - fatty acids from olive oil),2,2,2,2,2
Caprylhydroxamic Acid (chelating - amino acid coconut oil),1,1,1,1,1
Linoleic Acid (emollient - omega-6 fatty acid),1,1,1,1,1
Lecithin (emollient - plant derived fat),1,1,1,1,1
Phytosteryl Canola Glycerides (soothing - pure vegetable lipids),1,1,1,1,1
Oleic Acid (emollient - omega-9 fatty acid),1,1,1,1,1
Triolein (viscosity - glycerin and oleic acid),1,1,1,1,1
Limonene (natural fragrance - plant oil),1,1,1,1,1
Chlorogenic Acids,1,1,1,1,0
Hydrolyzed Rhodophyceae Extract,1,1,1,1,0
-Spirulina Maxima: Supports natural collagen renewal for a firmer appearance. -Pullulan: Soothes and balances skin’s moisture levels. -Provitamin B5 (Panthenol): Defends against water loss to keep skin soft and smooth. -Comfrey Root. Liquid: Water,1,1,1,1,1
Spirulina Maxima Extract. Powder: Diatomaceous Earth,1,1,1,1,1
Calcium Sulfate Hydrate,1,1,1,1,1
Curcuma Longa Rhizome Extract,1,1,1,1,1
Cymbopogon flexuosus (Lemon Grass) Oil.,1,1,1,1,1
Isobutane,2,1,2,2,0
Chromium Oxide Greens (Ci 77288) * Essential Oil Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,0,1,1,0
Ferrous Gluconate,0,0,0,0,0
Propylene Glycol Dioctanoate,0,0,0,0,0
Ceteareth-6 Olivate,1,1,1,1,1
Palmitoyl Dipeptide-5 Diaminohydroxybutyrate,1,1,1,1,1
Fragaria Ananassa (Strawberry) Seed Extract,1,1,1,1,1
Vaccinium Myrtillus Leaf Extract,1,1,1,1,1
Sodium Dextran Sulfate,3,3,3,3,3
Beeswax (Cera Alba),1,1,1,1,1
Isodecyl Salicylate,1,1,1,1,1
Zea Mays Oil,1,1,1,1,1
Polyglyceryl-3 Rice Branate,1,1,1,1,1
Dilinoleic Acid/Propanediol Copolymer,1,1,1,1,1
Cocoyl Proline,1,1,1,1,1
Polyglyceryl-6 Ricinoleate,1,1,1,1,1
Polyglyceryl-6 Caprylate,1,1,1,1,1
Polyglyceryl-3 Cocoate,1,1,1,1,1
Advanced Night Repr Eye Sync Cmpii Division: El (Estee Lauder)Ingredients: Methyl Trimethicone,1,1,1,1,0
Isopropyl Jojobate,1,1,1,1,0
Ci 77499) Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,2,2,2,2,1
Morinda Citrifolia Fruit Juice,1,1,1,1,1
Glyceryl Hydroxystearate,1,1,1,1,1
Biosaccharide Gum-2,2,2,2,2,2
Caprylyl Trimethicone,1,1,1,1,1
HDI/TriMethylol Hexyllactone Crosspolymer,1,1,1,1,1
Centella Asiatica Leaf Extract,1,1,1,1,1
Alchemilla Vulgaris Leaf Extract**,2,2,2,1,1
Viola Tricolor Extract**,2,2,2,1,1
Rosa Damascena Flower Extract**,2,2,2,1,1
Spiraea Ulmaria Flower Extract**,2,2,2,1,1
Althaea Officinalis Root Extract**,2,2,2,1,1
PEG-10 Rapeseed Sterol,1,1,1,1,1
C12-20 Alkyl Gucoside,1,1,1,1,1
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymwer,1,1,1,1,1
Citrus Aurantium Dulcis (Orange) Peel Oil+,1,1,1,1,1
Rosamarinus Officinalis (Rosemary) Leaf Oil+,1,1,1,1,1
Pelargonium Graveolens Flower OIl+,1,1,1,1,1
Citrannellol,1,1,1,1,1
Linalool. *Napiers original formula. **Napiers moisture formula. +Fragrances of natural origin.,1,1,1,1,1
Seaweed (Algae) Extract,0,0,0,0,0
Sesamum Indicum (Sesame) Seed,0,0,0,0,0
-Liquid Extract from Akoya Pearls: A naturally-derived anti-glycation ingredient that helps to reduce the intrinsic signs of aging and fatigue around the eye area associated with A.G.E.; works to address dark circles and fine lines and wrinkles by supporting natural collagen production and inhibiting hyperpigmentation; boosted by niacinamide,1,1,1,1,1
known to visibly brighten and firm,1,1,1,1,1
and pearl pigments for sheer,1,1,1,1,1
radiant coverage. -Silk Powder: Provides a blurring effect with a natural silken finish,1,1,1,1,1
and absorbs excess oil while still moisturizing to help makeup glide on smoothly and wear longer. -Hadasei-3 and Hyaluronic Acid: A fermentation of detoxifying uji green tea,1,1,1,1,1
polysaccharide-rich Okinawa mozuku algae,1,1,1,1,1
and nourishing akita rice is combined with hyaluronic acid to soften,1,1,1,1,1
plump,1,1,1,1,1
and hydrate skin for enhanced suppleness and youthful radiance. -Protective Blend of Botanical Extracts: Anti-pollution natural active ingredients fight attack from environmental stressors and act as a barrier between makeup and skin,1,1,1,1,1
helping to protect against signs of aging over time.,1,1,1,1,1
Pentaerythrityl Tetraoctanoate,1,1,1,1,0
Phenyl Trimethicone Glycerin Dipropylene Glycol,1,1,1,1,0
Raspberry Extract,1,1,1,1,0
Salvia Officinalis (Sage) Leaf,1,1,1,1,1
Milk Protein/Lactis Proteinum/Proteine Du Lait,1,1,1,1,1
Isomerized Linoleic Acid,1,1,1,1,1
Pyrus Malus (Apple ) Seed Oil,1,1,1,1,1
Dipentaerythrityl Hexa C5-9 Acid Esters,1,1,1,1,1
PEG/PPG-19/19 Dimethicone,1,1,1,1,1
Blue No. 1 (Ci 42090).,1,1,1,1,1
Butylene Glycol Pentylene Glycol,1,1,1,1,1
Phytosteryl/Behenyl/ Octyldodecyl Lauroyl Glutamate,1,1,1,1,1
Behenyl Alcohol Tocopheryl Acetate,1,1,1,1,1
Nylon- 12,1,1,1,1,1
Dimenthiconol,1,1,1,1,1
Laureth- 7,1,1,1,1,1
Medicago Sativa Extract/ Medicago Sativa (Alfalfa) Extract,1,1,1,1,1
Palmitoyl Dipeptide- 7,1,1,1,1,1
Acanthopanax Senticosus Root Extract/ Acanthopanax Senticosus (Eleuthero) Root Extract,1,1,1,1,1
Ammonium Polyacrylate,1,1,1,1,1
Cynara Scolymus Leaf Extract/ Cynara Scolymus (Artichoke) Leaf Extract,1,1,1,1,1
Parfum (Fragance),1,1,1,1,1
Ci 77891 (Titanium Dioxide,1,1,1,1,1
Cl 77492 (Iron Oxides). *Pitera™.,1,1,1,1,1
CI77499).,1,1,1,1,1
Squalane (Material),1,1,1,1,1
Acetyl Tetrapeptide-5,5,5,5,5,5
Lycium Barbarum (Go Ji) Fruit Extract,1,1,1,1,1
Lycopene,1,1,1,1,1
Vitis Vinifera (Grape) Skin Extract,1,1,1,1,1
Dimethicone CrossPolymer,1,1,1,1,1
Lauric Arginate,1,1,1,1,1
Laureth-7.,1,1,1,1,1
Phellinus Linteus Extract,1,1,1,1,1
Polygonum Multiflorum Root Extract,1,1,1,1,1
Bis(Glycidoxyphenyl)Propane/Bisaminomethylnorbornane Copolymer,1,1,1,1,1
Ethyl Hexanediol Chlorphenesin,1,1,1,1,1
Algae Exopolysacharides,1,1,1,1,1
Simmondsia Chinensis Oil,1,1,1,1,1
Oenothera Biennis Oil,1,1,1,1,1
Ruscus Aculeatus Extract,1,1,1,1,1
Ruscus Aculeatus Root Extract,1,1,1,1,1
Rosmarinus Officinalis Leaf Oil,1,1,1,1,1
Cucumis Sativus Extract,1,1,1,1,1
Curcuma Longa Extract,1,1,1,1,1
Rosa Spp,1,1,1,1,1
Jasminum Officinale Extract,1,1,1,1,1
Jasmine Extract.,1,1,1,1,1
Beta-glucan,2,2,2,2,1
Copper Tripeptide-1.,2,2,2,2,1
Hesperidin,2,2,2,2,2
Theobroma Grandiflorum Seed Butter,2,2,2,2,2
Acacia Farnesiana Flower Wax,1,1,1,1,1
Dextran.,1,1,1,1,1
Dimethicone/Vinyl Di- methicone Crosspolymer,0,0,0,0,0
Hydroxyethyl Acrylate/So- dium Acryloyldimethyl Taurate Copolymer,0,0,0,0,0
Rosa Dam- ascena Extract,0,0,0,0,0
Voandzeia Subterranea Seed Extract,0,0,0,0,0
Rhodi- ola Crenulata Root Extract,0,0,0,0,0
Polox- amer 407,0,0,0,0,0
Styrene/Vp Copolymer,0,0,0,0,0
Hydrolyzed Sclerotium Gum,0,0,0,0,0
(Fragrance),0,0,0,0,0
Phenoxyethano,0,0,0,0,0
Mesembryanthemum Crystallinum Callus Extract,1,1,1,1,1
Ethylene/Acrylic Acid Copolymer,3,3,3,3,3
Bifida ferment lysate,1,1,1,1,1
Alcohol denat,1,1,1,1,1
Di-c12-13 alkyl malate,1,1,1,1,1
Ammonium polyacryloyldimethyl taurate,1,1,1,1,1
titanium dioxide,1,1,1,1,1
Ascorbyl glucoside,1,1,1,1,1
Lactobacillus ferment,1,1,1,1,1
Hydrogenated vegetable oil,1,1,1,1,1
Sodium benzoate,1,1,1,1,1
Hydrolyzed wheat protein,1,1,1,1,1
Sodium dehydroacetate,1,1,1,1,1
Sodium succinate,1,1,1,1,1
Faex extract,1,1,1,1,1
yeast extract,1,1,1,1,1
Peg-10 dimethicone,1,1,1,1,1
Triethanolamine Chlorphenesin,1,1,1,1,1
Chlorhexidine digluconate,1,1,1,1,1
Polygonum fagopyrum seed extract,1,1,1,1,1
buckwheat seed extract,1,1,1,1,1
Salicyloyl phytosphingosine,1,1,1,1,1
Chlorella vulgaris extract,1,1,1,1,1
Pentylene glycol,1,1,1,1,1
Synthetic fluorphlogopite,1,1,1,1,1
Pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,1,1,1,1,1
Biosaccharide gum-1,1,1,1,1,1
Caprylic/capric triglyceride,1,1,1,1,1
Boron nitride,1,1,1,1,1
Acrylates/c10-30 alkyl acrylate crosspolymer,1,1,1,1,1
Bis-peg/ppg-16/16 peg/ppg-16/16 dimethicone,1,1,1,1,1
Disodium edta,1,1,1,1,1
Potassium cetyl phosphate,1,1,1,1,1
Potassium sorbate,1,1,1,1,1
Advanced Night Rpr Eye Conc Matrix Division: El (Estee Lauder)Ingredients: Water,1,1,1,1,0
Peg/Ppg-19/19 Dimethicone,1,1,1,1,1
Ginkgo Biloba Leaf Extract (Ginkgo Biloba),1,1,1,1,1
Perilla Ocymoides Leaf Extract.,1,1,1,1,1
Maris Aqua (Sea Water,1,1,1,1,1
Eau de Mer),1,1,1,1,1
Coco-Caprylate*,1,1,1,1,1
Isoamyl Laurate*,1,1,1,1,1
Albizia Julibrissin Bark Extract*,1,1,1,1,1
Glycol Palmitate,1,1,1,1,1
Picea Abies Wood Extract*,1,1,1,1,1
Darutoside*. *Plant Origin.,1,1,1,1,1
Peg-400,0,0,0,0,0
Stearyl Glycyrrhetinate (Licorice),0,0,0,0,0
Dipentaerythrityl Hexahydroxystearate,0,0,0,0,0
Ydrolyzed Collagen,1,1,1,1,1
Arginine*,1,1,1,1,1
Cyathea Cumingii Leaf Extract*,1,1,1,1,1
Escin*,1,1,1,1,1
Ammonium Glycyrrhizate*,1,1,1,1,1
Hamamelis Virginiana (Witch Hazel) Leaf Extract*,1,1,1,1,1
Cinnamic Acid*,1,1,1,1,1
Levulinic Acid*,1,1,1,1,1
Citric Acid* (194/002 ) *. Plant Origin.,1,1,1,1,1
Peg-8 Beeswax,0,0,0,0,0
Elastin,0,0,0,0,0
Foeniculum Vulgare Seed Extract,0,0,0,0,0
Steapyrium Chloride,1,1,1,1,1
Lavandula angustifolia (Lavender) Flower/leaf/stem Water*,1,1,1,1,1
Pheonix Dactylifera (Date) Seed Extract,2,2,2,2,2
Polygonum fagopyrum (Buckwheat) Seed Extract,1,1,1,1,1
Borago officinalis (Borage) Leaf Extract*,1,1,1,1,1
Leuconostoc ferment filtrate,1,1,1,1,1
Superoxide Dismutase*,1,1,1,1,1
Soybean Peroxidase*,1,1,1,1,1
Bambusa Arundinacea Stem Powder,1,1,1,1,1
Jojoba Wax PEG-120 Esters,1,1,1,1,1
Huile Minerale,1,1,1,1,1
Ci 16035,1,1,1,1,1
Red 40,1,1,1,1,1
Secale Cereale Seed Extract,1,1,1,1,1
Macadamia Ternifolia (Macadamia Nut) Oil*,1,1,1,1,1
Persea Gratissima (Avocado) Oil*,1,1,1,1,1
Caryodendron Orinocense Seed Oil,1,1,1,1,1
Himanthalia Elongata Extract,1,1,1,1,1
Coffee Arabica Seed Extract,1,1,1,1,1
Advanced Night Rp Eye Sr Syn Cmpii Division: El (Estee Lauder)Ingredients: Water,1,1,1,1,1
PEG-15 Pentaerythrityl Tetra (Laureth-6 Carboxylate),1,1,1,1,1
Tricaprylyl Citrate,0,0,0,0,0
Sodium Potassium Aluminum Silicate,2,2,2,2,2
Hordeum Vulgare Extract,1,1,1,1,1
Peg-8 Distearate,1,1,1,1,1
Synthetic,1,1,1,1,1
Fluorphlogopite,1,1,1,1,1
Sh- Oligopeptide-2,1,1,1,1,1
Sh- Polypeptide-9,1,1,1,1,1
Sh-Polypeptide-11,1,1,1,1,1
Bacillus/Soybean/Folic Acid Ferment,1,1,1,1,1
Ci 77492).,2,2,2,2,2
Sodium Carbonate Decahydrate,0,0,0,0,0
Anona Squamosa Seed Extract,0,0,0,0,0
Rosmarinus Officinalis (Rosemary) Leaf Extract.,0,0,0,0,0
Cucumis Sativus (Cucumber) Oil*,0,0,0,0,0
Ferula Galbaniflua (Galbanum) Resin Oil*,0,0,0,0,0
Gigartina Stellata (Algae) Extract,0,0,0,0,0
Organic Camellia Sinensis ( Green Tea) Leaf Extract,1,1,1,1,1
Caprylyl Caprylate/Caprate,1,1,1,1,1
Butyrospermum Parkii (Shea) Butter Polyglyceryl-3 Beeswax,1,1,1,1,1
Aesculus Hippocastanum (Horse Chestnut) Extract,1,1,1,1,1
Acmella Oleracea Extract,1,1,1,1,1
Ptychopetalum Olacoides Bark/Stem Extract,2,2,2,2,1
Pfaffia Paniculata (Brazilian Ginseng) Root Extract,1,1,1,1,1
Lilium Candidum Flower Extract,2,2,2,2,1
Alcohol (from plant extracts),1,1,1,1,1
Carthamus Tinctorius Seed Oil,1,1,1,1,1
Tagetes Erecta (Marigold) Flower Extract,1,1,1,1,1
Anthemis Nobilis (Roman Chamomile) Oil.,1,1,1,1,1
Retinyl Acetate,1,1,1,1,1
Sodium Polymethacrylate,1,1,1,1,1
77492 (Iron Oxides),1,1,1,1,1
CI 77891 (Titanium Dioxide).,2,2,2,2,2
Calcium Pca,2,2,2,2,2
Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters,1,1,1,0,1
Undecane,1,1,1,1,2
Tridecane,1,1,1,1,2
Strelitzia Nicolai Seed Aril Extract,1,1,1,0,1
Ocimum Basilicum (Basil) Extract,1,1,1,0,1
Corralina Officinalis Extract.,1,1,1,0,1
Organic Cocos Nucifera (Coconut) Oil,1,1,1,1,1
Organic Passiflora Incarnata Flower Extract,1,1,1,1,1
Sorbiton Olivate,1,1,1,1,1
Coffea Arabica (Coffee) Extract,2,2,2,1,1
Tilia Cordata (Linden) Flower Extract,1,1,1,1,1
Vaccinium Corymbosum (Blueberry) Oil,1,1,1,1,1
Organic Centella Asiatica (Gotu Kola) Extract,1,1,1,1,1
Organic Equisetum Arvense Horsetail) Extract,1,1,1,1,1
Gold Leaf (Edible),1,1,1,1,1
Persea Gratissima (Avocado) Sterols,0,0,0,0,0
Titanium Dioxide (Ci 77891) Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,0,0,0,0,0
Porphyrydium Cruentum Extract,1,1,1,0,0
*plant origin,1,1,1,1,1
Dimethcone,1,1,1,1,1
Polydimethylsiloxane/Polymethylsilsesquioxane Copolymer,1,1,1,1,1
Hexapeptide48-HCL,1,1,1,1,1
PEG-100 Sterarate,1,1,1,1,1
Siegesbeckia Orientalis Extract,1,1,1,1,1
Ribes Nigrum (Black Currant) Bud Extract,0,0,0,0,0
Avena Sativa (Oat) Kernel Extract***,1,1,1,0,0
Calendula Officinalis Flower Extract***,1,1,1,0,0
Nepeta Cataria Extract***,1,1,1,0,0
Rubus Idaeus (Raspberry) Leaf Extract***,1,1,1,0,0
Baptisia Tinctoria Root Extract***,1,1,1,0,0
Stellaria Media (Chickweed) Extract***,1,1,1,0,0
Iron Oxides(CI 77491),1,1,1,0,0
Linalool*. **Napiers Moisture Formula. ***Napiers Original Formula. +Fragrances Of Natural Origin.,1,1,1,0,0
Aspergillus Ferment,1,1,1,1,1
Hamamelis Virginiana Extract,1,1,1,1,1
Glucomannan,1,1,1,1,1
Aloe Yohjyu Matsu Ekisu,1,1,1,1,1
Iodopropynyl Butylcarbamate,1,1,1,1,1
Hydroxyethyl Acrylate/Sodium Acryloyldimethyltaurate Copolymer,1,1,1,1,1
Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,1,1,1,1,0
Terminalia Chebula Fruit Extract,1,1,1,1,0
Isostearyl Iso-stearate,0,0,0,0,0
Potassium Cetyl Phos-phate,0,0,0,0,0
Nylon 6/12,0,0,0,0,0
Hydrogenated Palm Kernel Glycer-ides,0,0,0,0,0
Ethylene/Acrylic AcidCopolymer,0,0,0,0,0
Citrus Limon (Lemon)Peel Oil,0,0,0,0,0
Ne-lumbo Nucifera Flower Extract,0,0,0,0,0
Hibiscus EsculentusFruit Extract,0,0,0,0,0
Ascorbyl Tetraisopal-mitate,0,0,0,0,0
Laureth-21,1,1,1,1,1
Iodopropynyl Butylcarbamate.,1,1,1,1,1
Silica Cetyl Silylate,0,1,0,0,0
Visit the Origins boutique,0,0,0,0,0
Hydrogenated Olive Oil Lauryl Esters,1,1,1,1,0
Camellia Sinensis Seed Oil,2,2,2,2,1
Hydrogenated Vegetable Glycerides,0,1,0,0,0
Trifluoromethyl C1-4 Alkyl Dimethicone,0,1,0,0,0
Cryptomeria Japonica Leaf Extract,0,1,0,0,0
Iron Oxides (Ci 77499).,0,1,0,0,0
Adv Timezone Age Rvr Lw Eye Crm Division: El (Estee Lauder)Ingredients: Water,0,0,0,0,0
Lauryl Pca,1,1,1,1,0
Smilax Aristolochiifolia Root Extract,1,1,1,1,1
Disodium Rutinyl Disulfate,1,1,1,1,1
Stearyl Heptanoate,1,1,1,1,1
Copper Lysine Prolinate,0,0,0,0,0
Methyl Glucoside Phosphate,0,0,0,0,0
Albiza Julibrissin Bark Extract,0,0,0,0,0
Dimethicone/Methicone Copolymer,0,0,0,0,0
Zingiber Aromaticus Extract.,0,0,0,0,0
Vinly Dimethicone/Methicone Silsesquioxane Crosspollymer,1,1,1,1,1
PEG/PPPG-18/18 DImethicone,1,1,1,1,1
Hydrolyzed Soy protein,1,1,1,1,1
CI 77163/Bismuth Oxychloride,1,1,1,1,1
Caffine,1,1,1,1,1
Vitis Vinifer Seed Extract/Grape Seed Extract,1,1,1,1,1
Capryloyl Salicyclic Acid,1,1,1,1,1
CI 77491/Iron Oxides,2,2,2,2,2
Sodium salicylate,1,1,1,1,1
Rosa Canina (Rose Hips) Fruit Oil,1,1,1,1,1
Coix Lacryma-Jobi Ma-Yuen Seed Extract,1,1,1,1,1
Helichrysum Italicum Flower Oil,0,0,0,0,0
Helichrysum Italicum Extract,0,0,0,0,0
Fraxinus Excelsior Bark Extract,0,0,0,0,0
Mel/Honey,0,0,0,0,0
Ceramide NG,2,2,2,1,1
PEG-10 Phytosterol,1,1,1,1,1
Shorea Stenoptera Seed Butter,0,0,0,0,0
Siloxanetriol Alginate,2,2,2,2,1
Methylsilanol Mannuronate,0,0,0,0,0
Iron Oxide (CI 77499).,0,0,0,0,0
Visit the L'Occitane boutique,0,0,0,0,0
Cetyl Stearate,0,0,0,0,0
Calcium Sodium Phosphosilicate,1,1,1,1,1
Glycyrrhiza Glabra (Licorice) Rhizome/Root Extract,0,0,0,0,0
Calophyllum Tacamahaca Seed Oil,1,1,1,1,1
Rhamnose,0,0,0,0,0
Salicyloyl Phytosphingosine.,0,0,0,0,0
Di-PPG-2 Myreth-10 Adipate,1,1,1,1,1
Manuka (Leptospermum) Honey Extract,1,1,1,1,1
Polianthes Tuberosa Callus Extract,2,2,2,2,2
Lactic Acid.,1,1,1,1,1
Olus Oil (Vegetable Oil)/Huile Végétale,1,1,1,1,1
Olive Oil Peg-7 Esters,1,1,1,1,1
Cera Alba (Beeswax)/Cire D'abeille,1,1,1,1,1
Stearoxymethicone,0,0,0,0,0
Rosmarinus Officinalis (Rosemary)Leaf Extract,0,0,0,0,0
Arctium Lappa Root Extract,0,0,0,0,0
Rosmarinus Officinalis (Rosemary) Leaf Oil.,1,1,1,1,0
Phytosteryl Isostearate,1,1,1,1,0
Paraffinum Liquidum/Mineral Oil/Huile Minerale,0,0,0,0,0
Microcristallina Cera/Microcrystalline Wax/Cire Microcrystalline,1,1,1,1,1
Rosa Canina (Rose Hip) Fruit Oil,0,0,0,0,0
Palmitoyl Hydrolyzed Wheat Protein,1,1,1,1,1
Vaccinium Vitis-Idaea (Lingonberry) Seed Oil,0,0,0,0,0
Safflower Glyceride/ Palm Oil Aminopropanediol Esters,0,0,0,0,0
Sodium Hydroxymethylglycinate,1,1,1,1,1
Faex (Yeast) Extract.,0,0,0,0,0
Hydrogenated Ethylhexyl Olivate,0,0,0,0,0
Caprylic/Capric/ Myristic/Stearic Triglyceride,0,0,0,0,0
Hydrogenated Olive Oil Unsaponifiables,0,0,0,0,0
Dandelion Root,0,0,0,0,0
Artichoke Leaf,0,0,0,0,0
Cellulose Powder,0,0,0,0,0
Magnesium.,0,0,0,0,0
Phytonadione (Vitamin K),0,0,0,0,0
Green Tea (Camellia Oleifera) Seed Extract,0,0,0,0,0
Horse Chestnut (Aesculus Hippocastarium) Seed Extract,0,0,0,0,0
Oat (Avena Sativa) Kernel Extract,0,0,0,0,0
Kojic Acid,0,0,0,0,0
Acacia Decurrens/jojoba/sunflower Seed Wax/polyglyceryl-3 Esters,1,1,1,1,1
Ammonium Acryloyldimethyltaurate/ Vp Copolymer,1,1,1,1,1
Pinus Nigra Bud/needle Extract,1,1,1,1,1
Saccharomyces/xylinum/ Black Tea Ferment,1,1,1,1,1
Polyethylene Glycol Monomethyl Ether,0,0,0,0,0
Visit the BeautyBio boutique,0,0,0,0,0
Sucrose Polysoyate,1,1,1,1,1
Chondrus Crispus,1,1,1,1,1
Pyrus Sorbus Bud Extract,1,1,1,1,1
Galactaric Acid,1,1,1,1,1
Ribes Nigrum (Black Currant) Leaf Extract,1,1,1,1,1
Spirulina Maxima Extract,1,1,1,1,1
Hamamelis Virginiana Water,1,1,1,1,1
Ci 77891.,1,1,1,1,1
Sodium Benzate,1,1,1,1,0
Gluconolacctone.,1,1,1,1,0
Citrus Aurantium Amara (bitter Orange) Flower Water,0,0,0,0,0
Benzyl Acohol,0,0,0,0,0
Anthemis Nobilis (Chamomile) Oil*,0,0,0,0,0
Canarium Luzonicum (Elemi) Leaf Extract,0,0,0,0,0
Res Lift Frm/Sclp Eye Creme Division: El (Estee Lauder)Ingredients: Water,0,0,0,0,0
Cholesterol/Potassium Sulfate,0,0,0,0,0
Hydrolyzed Soybean Extract,1,1,1,1,1
Ceramide 2,2,2,2,2,2
Hydrolyzed Rice Bran Protein,0,0,0,0,0
Acetyl Hexapeptide-3,0,0,0,0,0
Oxido Reductases.,0,0,0,0,0
Nasturtium Officinale Extract,0,0,0,0,0
llex Paraguariensis (Paraguay Tea) Leaf Extract,0,0,0,0,0
CI77891 (Titanium Dioxide),1,1,1,1,1
Phosphatidycholine,1,1,1,1,1
Eschscholtzia Californica Leaf Cell,1,1,1,1,1
-Cornflower Water: Revitalizes the appearance of eyelids and reduces the appearance of puffiness. -Micronized Powders: Illuminate and help diminish the look of dark circles. -Abyssinica Oil: Nourishes,0,1,1,0,1
coats,0,1,1,0,1
and strengthens lashes and eyebrows. -Haberlea: Supports the skin's natural defenses. -Mallow: Supports natural circulation of water in the skin for improved hydration.,0,1,1,0,1
Sodium Acrylates Crosspolymer-2,2,2,2,2,2
Melissa Officinalis Leaf Oil,1,1,1,1,1
Panax Ginseng Root Extract Propanediol,1,1,1,1,1
Oryza Sativa Extract,1,1,1,1,1
Rice Extract,1,1,1,1,1
