Ingredient,Combination,Dry,Normal,Oily,Sensitive
Isopropyl Isostearate,12,13,14,10,9
Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal/Malt Extract/Yeast Extract Ferment Filtrate (Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Yeast Extract Ferment Filtrate),2,2,2,2,0
Glyceryl Stearate SE,12,13,12,11,10
Plantago Lanceolata Leaf Extract,6,6,6,6,4
Adansonia Digitata Seed Oil,4,4,4,3,2
Citrullus Lanatus (Watermelon) Seed Oil,2,2,2,2,0
Passiflora Edulis Seed Oil,5,5,5,5,2
Schinziophyton Rautanenii Kernel Oil,2,2,2,2,0
Polyglyceryl-6 Ximenia Americana Seedate,2,2,2,2,0
Sodium Hyaluronate Crosspolymer,25,24,25,22,13
Ceteareth-20,43,43,43,38,33
Trisodium Ethylenediamine Disuccinate,28,27,28,26,21
Sodium Hydroxide,193,176,189,183,140
Ethylhexylglycerin.,17,17,17,16,12
100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,2,2,2,2,0
Squalane,142,141,145,128,119
Bis-Peg-18 Methyl Ether Dimethyl Silane,24,21,22,23,18
Sucrose Stearate,7,8,7,6,7
Stearyl Alcohol,30,33,35,29,27
Peg-8 Stearate,1,1,1,1,1
Myristyl Myristate,12,13,14,11,12
Pentaerythrityl Tetraethylhexanoate,21,22,23,19,18
Prunus Armeniaca Kernel Oil,5,5,5,5,5
Persea Gratissima Oil,3,3,3,3,3
Olea Europaea Oil,1,1,1,1,1
Oryza Sativa Bran Oil,1,1,1,1,1
Glyceryl Stearate,150,138,148,132,104
Imperata Cylindrica Root Extract,12,10,12,11,8
Palmitic Acid,35,34,36,33,28
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,123,123,126,113,101
Propylparaben,11,10,11,10,10
Triethanolamine,32,29,30,28,22
Prunus Amygdalus Dulcis Oil,3,3,3,3,3
Pseudoalteromonas Ferment Extract,7,6,8,6,5
Hydroxypalmitoyl Sphinganine,2,2,2,2,2
Caprylyl Glycol.,9,8,9,9,8
Propylene Glycol Dicaprylate/Dicaprate,2,2,3,3,2
Cetearyl Isononanoate,3,3,3,3,3
Betaine,97,90,94,89,70
Polymethyl Methacrylate,26,26,26,22,21
Steareth-21,23,20,23,19,18
Ficus Carica (Fig) Fruit Extract,3,3,3,3,3
Lepidium Meyenii Root Extract,2,2,2,2,2
Citrus Limon (Lemon) Peel Oil,17,16,17,16,12
Cucumis Sativus (Cucumber) Fruit Extract,54,50,52,50,38
Algae Extract,59,54,58,54,43
Nelumbo Nucifera Flower Extract,11,11,11,7,10
Hibiscus Esculentus Fruit Extract,3,3,3,3,3
Ascorbyl Tetraisopalmitate,17,16,17,16,15
Behenyl Alcohol,53,53,56,47,41
Cetearyl Glucoside,32,31,33,30,29
Sorbitol,50,47,50,47,37
Tromethamine,64,65,67,61,51
Caramel,12,11,12,10,12
Sorbic Acid,31,32,32,29,24
Citral.,3,3,3,3,2
